time,vgs,vds,ids,temperature
0.0000000,15.0,48,42.0,31.8
0.0000001,13.2,180,40.5,31.9
0.0000002,10.5,420,37.0,32.0
0.0000003,7.1,760,30.0,32.1
0.0000004,3.4,884,22.0,32.3
0.0000005,1.1,742,18.4,32.5
0.0000006,0.2,842,15.8,32.8
0.0000007,0.0,705,13.5,33.0
0.0000008,0.0,812,11.3,33.2
0.0000009,0.0,696,9.5,33.5
0.0000010,0.0,790,8.0,33.8
0.0000011,0.0,702,6.8,34.0
0.0000012,0.0,768,5.6,34.2
0.0000013,0.0,710,4.6,34.4
0.0000014,0.0,748,3.8,34.5
0.0000015,0.0,716,3.2,34.7
0.0000016,0.0,735,2.7,34.9
0.0000017,0.0,719,2.3,35.0
0.0000018,0.0,728,2.0,35.2
0.0000019,0.0,721,1.8,35.3
0.0000020,0.0,724,1.6,35.4
0.0000021,0.0,722,1.4,35.5
0.0000022,0.0,721,1.3,35.6
0.0000023,0.0,721,1.2,35.7
0.0000024,0.0,720,1.1,35.8
0.0000025,0.0,720,1.0,35.9
0.0000026,0.0,720,0.9,36.0
0.0000027,0.0,720,0.8,36.1
0.0000028,0.0,720,0.8,36.2
0.0000029,0.0,720,0.7,36.3
0.0000030,0.0,720,0.7,36.4

