time,vgs,vds,ids,temperature
0.0000000,15.0,45,40.0,31.4
0.0000001,13.0,160,38.0,31.5
0.0000002,10.0,395,34.0,31.7
0.0000003,6.8,700,27.0,31.8
0.0000004,3.0,805,20.0,32.0
0.0000005,0.9,748,16.2,32.1
0.0000006,0.1,782,13.6,32.3
0.0000007,0.0,724,11.5,32.5
0.0000008,0.0,760,9.5,32.7
0.0000009,0.0,719,7.9,32.9
0.0000010,0.0,745,6.5,33.0
0.0000011,0.0,720,5.4,33.2
0.0000012,0.0,734,4.4,33.3
0.0000013,0.0,721,3.6,33.5
0.0000014,0.0,728,3.0,33.6
0.0000015,0.0,721,2.5,33.8
0.0000016,0.0,724,2.1,33.9
0.0000017,0.0,721,1.8,34.0
0.0000018,0.0,722,1.6,34.1
0.0000019,0.0,721,1.4,34.2
0.0000020,0.0,721,1.2,34.3
0.0000021,0.0,720,1.1,34.4
0.0000022,0.0,720,1.0,34.5
0.0000023,0.0,720,0.9,34.5
0.0000024,0.0,720,0.8,34.6
0.0000025,0.0,720,0.7,34.7
0.0000026,0.0,720,0.7,34.8
0.0000027,0.0,720,0.6,34.9
0.0000028,0.0,720,0.6,35.0
0.0000029,0.0,720,0.5,35.1
0.0000030,0.0,720,0.5,35.2

